K,N,run,seed,converged,conv_sec,conv_rounds,committed_frac,avg_degree,msgs_per_bs,proposes,conflicts,dropped,interference,zero_interf,avg_mbps_served,jain
6,40,28,1300070,true,0.4300,8.600,1.0000,6.500,19.950,272,6,0,1.167696e-09,false,137.259,0.9096
6,40,29,1300071,true,0.4029,8.058,1.0000,7.150,21.575,286,5,0,9.564474e-10,false,137.225,0.9079
6,60,0,1400042,true,0.4172,8.344,1.0000,8.867,26.867,540,8,0,2.586822e-09,false,126.034,0.8585
6,60,1,1400043,true,0.4245,8.489,1.0000,8.067,24.467,495,5,0,1.816104e-09,false,130.501,0.8541
6,60,2,1400044,true,0.4054,8.108,1.0000,10.300,31.033,618,8,0,4.422411e-09,false,114.942,0.7844
6,60,3,1400045,true,0.4566,9.132,1.0000,10.400,31.683,640,13,0,6.126872e-09,false,102.560,0.7332
6,60,4,1400046,true,0.4030,8.060,1.0000,10.600,31.950,636,9,0,6.303378e-09,false,95.261,0.6996
6,60,5,1400047,true,0.5068,10.136,1.0000,7.933,24.067,485,7,0,2.827339e-09,false,134.719,0.8900
6,60,6,1400048,true,0.4061,8.122,1.0000,8.867,26.750,532,9,0,1.886002e-09,false,127.811,0.8455
6,60,7,1400049,true,0.4049,8.097,1.0000,8.300,24.983,498,5,0,1.803508e-09,false,133.209,0.8926
6,60,8,1400050,true,0.4124,8.248,1.0000,10.167,31.267,639,17,0,5.897101e-09,false,110.526,0.8033
6,60,9,1400051,true,0.4766,9.532,1.0000,9.633,29.250,587,12,0,4.171671e-09,false,113.733,0.7782
